Agree,Соглашаться
Allow,Позволять
Answer,Отвечать
Ask,Спрашивать
Be,Быть
Become,Становиться
Begin,Начинать
Believe,Верить
Borrow,Занимать
Break,Ломать
Bring,Приносить
Buy,Покупать
Call,Звонить
Can,Мочь
Carry,Носить
Change,Менять
Close,Закрывать
Come,Приходить
Cook,Готовить
Copy,Копировать
Cut,Резать
Decide,Решать
Discuss,Обсуждать
Do,Делать
Eat,Есть
Explain,Объяснять
Fall,Падать
Feel,Чувствовать себя
Fill,Заполнять
Find,Находить
Finish,Заканчивать
Follow,Следовать
Fly,Лететь
Forget,Забывать
Get,Получать
Give,Давать
Go,Идти
Happen,Случаться
Have,Иметь
Hear,Слушать
Help,Помогать
Hold,Держать
Keep,Держать
Know,Знать
Learn,Учить
Leave,Оставлять
Like,Нравится
Listen,Слушать
Live,Жить
Look,Смотреть
Lose,Терять
Make,Делать
May,Возможно
Mean,Значить
Meet,Встречать
Move,Двигать
Must,Должен
Need,Нуждаться
Open,Открывать
Pay,Платить
Play,Играть
promise,Обещать
put,Класть
Read,Читать
Remember,Помнить
Run,Бежать
Say,Сказать
See,Видеть
Sell,Продавать
Send,Получать
Set,Ставить
Sell,Продавать
Should,Следует
Show,Показывать
Sit,Сидеть
Sleep,Спать
Speak,Говорить
Spend,Проводить
Stand,Стоять
Start,Начинать
Stop,Останавливать
Study,Изучать
Suggest,Предлагать
Take,Брать
Talk,Говорить
Tell,Сказать
Think,Думать
Travel,Путешествовать
Try,Пытаться
Turn,Поворачивать
Understand,Понимать
Use,Использовать
Wait,Ждать
Wake up,Просыпаться
Walk,Ходить
Watch,Смотреть
Win,Выигрывать
Work,Работать
Worry,Беспокоиться
Write,Писать
